1   Король Лев
2   Холодное сердце 2
3   Братья Супер Марио в кино
4   Холодное сердце	1
5   Суперсемейка 2
6	Миньоны
7	История игрушек 4
8	История игрушек: Большой побег
9	Гадкий я 3
10	В поисках Дори
11	Зверополис
12	Гадкий я 2
13	Король Лев
14	В поисках Немо
15	Миньоны: Грювитация
16	Шрек 2
17	Ледниковый период 3: Эра динозавров
18	Ледниковый период 4: Континентальный дрейф
19	Тайная жизнь домашних животных
20	Головоломка
21	Шрек Третий
22	Тайна Коко
23	Шрек навсегда
24	Мадагаскар 3
25	Университет монстров
26	Вверх
27	Нэчжа
28	Моана
29	Человек-паук: Паутина вселенных
30	Ледниковый период 2: Глобальное потепление
31	Кунг-фу панда 2
32	Город героев
33	Зверопой
34	Кунг-фу панда
35	Суперсемейка
36	Рататуй
37	Как приручить дракона 2
38	Мадагаскар 2
39	Рапунцель: Запутанная история
40	Семейка Крудс
41	Корпорация монстров
42	Тачки
43	Кот в сапогах
44	Гадкий я
45	Мадагаскар
46	Храбрая сердцем
47	Ральф против интернета
48	Монстры на каникулах 3: Море зовёт
49	Босс-молокосос
50	Симпсоны в кино
51	Как приручить дракон
